,State Code,County Code,Site Num,POC,Latitude,Longitude,Datum,Date Local,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
72,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-14,24,100.0,46.8875,56.7,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
73,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-15,24,100.0,46.758333,62.7,16,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
74,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-16,24,100.0,56.704167,70.7,12,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
75,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-17,24,100.0,59.333333,71.1,10,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
76,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-18,24,100.0,46.845833,51.4,13,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
77,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-19,24,100.0,42.2875,49.4,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
78,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-20,24,100.0,39.716667,54.9,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
79,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-21,24,100.0,50.6875,66.6,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
80,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-22,24,100.0,61.391667,78.4,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
81,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-23,24,100.0,66.229167,80.7,13,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
82,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-24,24,100.0,72.6375,80.0,12,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
83,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-25,24,100.0,76.395833,84.2,13,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
84,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-26,24,100.0,75.820833,82.3,12,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
85,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-27,24,100.0,72.970833,76.2,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
86,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-28,24,100.0,66.6125,74.5,16,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
87,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-29,24,100.0,54.7,64.5,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
88,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-30,24,100.0,60.1375,76.0,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
89,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-31,24,100.0,68.783333,76.3,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
90,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-01,24,100.0,72.825,84.3,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
91,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-02,24,100.0,62.416667,73.0,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
92,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-03,24,100.0,73.708333,81.4,12,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
93,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-04,24,100.0,76.195833,84.8,12,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
94,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-05,24,100.0,75.033333,82.7,11,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
95,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-06,24,100.0,74.4125,83.9,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
96,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-07,24,100.0,69.429167,78.9,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
97,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-08,24,100.0,62.0625,67.5,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
98,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-09,24,100.0,52.033333,59.5,16,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
99,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-10,24,100.0,58.425,62.6,16,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
100,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-11,24,100.0,64.404167,73.8,13,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
101,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-12,24,100.0,63.75,70.0,12,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
102,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-13,24,100.0,62.716667,69.8,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
103,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-14,24,100.0,65.4375,76.0,16,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
104,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-15,24,100.0,64.266667,78.9,12,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
105,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-16,24,100.0,64.475,71.2,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
106,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-17,24,100.0,57.245833,72.4,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
107,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-18,24,100.0,59.695833,78.9,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
108,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-19,24,100.0,63.704167,81.1,13,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
109,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-20,24,100.0,67.516667,81.9,13,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
110,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-21,24,100.0,67.4125,76.8,12,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
111,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-22,24,100.0,64.245833,74.7,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
112,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-23,24,100.0,63.229167,77.9,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
113,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-24,24,100.0,60.179167,68.5,16,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
114,1,53,1000,1,31.0921,-87.5435,NAD83,2023-04-25,24,100.0,66.5,78.7,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
